Year,Month,Quantity,Price,Rate,Expense
2012,Jan,124.6858732,110.6464286,49.6825,68542.20835
2012,Feb,109.6068274,117.4305263,48.9408,62992.621
2012,Mar,110.1669489,123.77,51.1565,69753.7461
2012,Apr,107.7569545,118.360625,52.5193,66984.06308
2012,May,107.4990043,109.4042857,56.4225,66357.66595
2012,Jun,100.7407026,96.12,56.309,54525.11025
2012,Jul,102.104155,100.3011765,55.807,57152.87993
2012,Aug,105.2069299,109.894375,55.7215,64423.247
2012,Sep,106.2387319,111.705,52.697,62537.62485
2012,Oct,105.5017309,109.955,54.1175,62778.69641
2012,Nov,111.0955703,107.806,54.5265,65305.12977
2012,Dec,111.5304013,107.25,54.7773,65522.60982
2013,Jan,129.1299912,109.5185714,53.289,75362.00811
2013,Feb,100.5048624,112.8755,53.7735,61003.54386
2013,Mar,112.4148028,106.4868421,54.3893,65107.78494
2013,Apr,120.9271672,101.7385,54.219,66705.35703
2013,May,126.6168168,101.107619,56.4958,72325.49877
2013,Jun,101.4040034,101.1565,59.6995,61237.80133
2013,Jul,117.5074814,104.9347826,61.115,75358.59644
2013,Aug,126.1525061,108.3289474,66.5742,90980.09
2013,Sep,111.3093006,109.4614286,62.777,76487.96797
2013,Oct,115.4659874,107.4595238,61.41,76197.03689
2013,Nov,108.5529162,106.5552381,62.3948,72171.32784
2013,Dec,111.4198509,108.7695238,61.897,75013.49503
2014,Jan,113.2107638,105.4781818,62.4768,74605.20584
2014,Feb,121.015607,106.1875,62.072,79764.66004
2014,Mar,108.9730064,105.2942857,60.0998,68959.92206
2014,Apr,122.0474089,105.6771429,60.3375,77821.02354
2014,May,110.3217192,106.948,59.0335,69651.7802
2014,Jun,118.4582127,109.1304762,60.0933,77685.01962
2014,Jul,103.7476674,106.3045455,60.246,66444.40145
2014,Aug,116.5272697,101.8094737,60.4745,71744.40688
2014,Sep,114.7437266,96.95954545,61.6135,68548.0968
2014,Oct,116.5788594,86.4725,61.408,61904.57836
2014,Nov,110.9923904,77.14277778,61.9736,53063.41572
2014,Dec,123.2634608,61.05636364,63.3315,47663.40525
2015,Jan,129.9628024,46.90636364,61.7575,37647.88131
2015,Feb,95.74383416,56.61105263,61.7908,33491.59753
2015,Mar,121.5241382,55.00809524,62.5908,41840.76913
2015,Apr,107.6611443,58.86809524,63.578,40294.50614
2015,May,128.9383709,63.81578947,63.7615,52464.90011
2015,Jun,112.2895122,61.75,63.7549,44206.8659
2015,Jul,130.6850639,56.3,64.0054,47092.41532
2015,Aug,127.0221675,47.47619048,66.3062,39986.14366
2015,Sep,115.3112172,46.115,65.7418,34958.70693
2015,Oct,114.7363562,46.67409091,65.2231,34928.37312
2015,Nov,122.3864297,42.58904762,66.8148,34826.02175
2015,Dec,132.4464965,35.65136364,66.326,31318.46206
2016,Jan,132.5644172,28.4125,67.8763,25565.51679
2016,Feb,124.4205533,30.57666667,68.616,26104.03626
2016,Mar,131.5031349,36.42045455,66.3329,31769.50532
2016,Apr,132.3654265,39.792,66.5176,35035.38566
2016,May,130.5376635,45.02818182,67.203,39501.07425
2016,Jun,130.2060131,46.94363636,67.6166,41329.5901
2016,Jul,127.5970285,43.5185,67.034,37222.84923
2016,Aug,138.6373075,44.3447619,66.9813,41179.02078
2016,Sep,126.8821374,44.36380952,66.6596,37522.52203
2016,Oct,133.7878389,49.18263158,66.8566,43991.89679
2016,Nov,138.2319569,44.53190476,68.526,42182.77143
2016,Dec,131.7094955,52.70227273,67.9547,47170.00581
2017,Jan,128.5772401,54.12666667,67.8125,47193.82062
2017,Feb,120.256496,54.83,66.7375,44004.46296
2017,Mar,134.2300396,51.48863636,64.8386,44812.04232
2017,Apr,133.5077788,52.60210526,64.217,45098.25204
2017,May,130.9798642,50.56227273,64.5459,42746.42344
2017,Jun,128.1055591,46.55714286,64.7379,38611.16485
2017,Jul,127.6117687,47.87095238,64.0773,39144.16194
2017,Aug,133.5077788,50.69695652,64.0154,43328.42695
2017,Sep,129.1889513,54.2435,65.3552,45798.70783
2017,Oct,140.3029306,56.08409091,64.7745,50969.51444
2017,Nov,140.4061105,61.31681818,64.4332,55472.19104
2017,Dec,144.7544177,62.322,63.9273,57671.27738
2018,Jan,148.2478038,66.96826087,63.6878,63228.59565
2018,Feb,129.2036915,63.467,65.1031,53385.65322
2018,Mar,138.0992966,63.93947368,65.0441,57433.9165
2018,Apr,126.4030865,69.301,66.7801,58498.43469
2018,May,147.1275621,75.03652174,67.4526,74467.26911
2018,Jun,143.5457356,73.87666667,68.5753,72721.91439
2018,Jul,144.3269571,73.55238095,68.6068,72830.17515
2018,Aug,137.3844055,72.67095238,70.9255,70810.99498
2018,Sep,132.8002575,77.883,72.5474,75034.92304
2018,Oct,155.5662263,80.13181818,73.9936,92238.97563
2018,Nov,125.3565444,65.39857143,69.6574,57106.10423
2018,Dec,144.0321568,57.036,69.7923,57334.50076
2019,Jan,145.0786983,58.92238095,71.0333,60721.98067
2019,Feb,126.1303962,64.32166667,71.1953,57760.15811
2019,Mar,142.3960135,66.64736842,69.1713,65645.77425
2019,Apr,145.3661288,71.1,69.8368,72180.04645
2019,May,140.9736011,70.089,69.8058,68973.00794
2019,Jun,124.3026325,62.2275,68.918,53308.36291
2019,Jul,142.5655239,63.63130435,68.8569,62464.43365
2019,Aug,144.8797082,59.40888889,71.7586,61763.64949
2019,Sep,123.9709821,61.62352941,70.685,54000.01402
2019,Oct,142.2633539,59.84333333,70.8095,60283.76205
2019,Nov,141.290512,62.36941176,71.7255,63205.98901
2019,Dec,137.9297862,65.49666667,71.274,64388.51273
2020,Jan,148.4173142,64.085,71.5096,68015.09446
2020,Feb,137.4286254,54.87076923,72.1895,54436.76205
2020,Mar,143.8257963,33.34761905,75.3859,36156.9462
2020,Apr,121.9958187,20.53238095,75.115,18815.29062
2020,May,107.6537745,29.658,75.6369,24149.31649
2020,Jun,100.7996627,40.63227273,75.527,30933.7398
2020,Jul,90.9091057,43.33652174,74.7722,29457.88726
2020,Aug,124.2510429,44.19285714,73.5951,40411.13261
2020,Sep,111.8767918,41.35454545,73.7978,34143.39253
2020,Oct,112.4590226,40.7955,73.9732,33937.58787
2020,Nov,134.7164609,43.474,73.7983,43221.18041
2020,Dec,151.0041888,49.89636364,73.0536,55042.67262
2021,Jan,144.4153975,54.5815,72.9519,57503.67146
2021,Feb,112.2821425,61.41473684,73.0408,50367.31587
2021,Mar,134.5838006,64.82954545,73.5047,64132.8994
2021,Apr,134.5395801,63.26421053,74.0232,63005.14514
2021,May,127.1990476,66.9835,72.5211,61789.6989
2021,Jun,117.2200509,71.98272727,74.3456,62731.47128
2021,Jul,110.6902197,73.53904762,74.3871,60551.49614
2021,Aug,128.1350394,70.068,73.1536,65678.516
2021,Sep,129.7711821,72.976,74.2551,70320.92954
2021,Oct,125.9166659,81.98210526,74.7858,77200.73339
2021,Nov,135.4166118,80.50444444,75.0885,81858.77277
2021,Dec,144.806008,73.24409091,74.3025,78806.60174
2022,Jan,141.9095929,84.215,74.9674,89592.91276
2022,Feb,129.653262,93.3,75.4882,91315.42849
2022,Mar,140.25871,113.7436842,75.8071,120939.1786
2022,Apr,153.8490136,102.9488889,76.4242,121045.1188
2022,May,144.2016666,109.333,77.6641,122445.2264
2022,Jun,141.5484622,115.8073684,78.9421,129404.692
2022,Jul,149.9207966,105.7526316,79.4203,125917.0637
2022,Aug,129.3363517,97.655,79.7194,100688.3241
2022,Sep,121.2956677,90.601,81.5522,89621.8619
2022,Oct,132.2696163,92.06235294,82.3934,100330.8725
2022,Nov,139.3227183,88.07578947,81.597,100127.3393
2022,Dec,143.8479063,77.9,82.7862,92768.16179
2023,Jan,147.0759718,80.74333333,81.7387,97068.01024
2023,Feb,140.6788008,82.279,82.6816,95703.21659
2023,Mar,152.7729918,78.2852381,82.2169,98330.34387
2023,Apr,146.19894,83.483125,81.7829,99817.21029
2023,May,147.7097929,75.08684211,82.6773,91697.90515
2023,Jun,141.371582,74.9275,82.0428,86904.81393
2023,Jul,142.3886438,80.36857143,82.2481,94121.20449
2023,Aug,138.0329662,86.364,82.6784,98561.57454
2023,Sep,128.4224699,93.5075,83.058,99739.90117
2023,Oct,136.5515937,89.96238095,83.2692,102292.1028
2023,Nov,136.8537644,83.489,83.35,95233.90909
2023,Dec,146.2431606,77.42,83.1164,94105.59735
2024,Jan,157.6224598,79.1145,83.0805,103603.2287
2024,Feb,132.7781475,81.6225,82.9246,89871.06393
2024,Mar,147.4886928,84.45526316,83.3739,103852.167
2024,Apr,158.0278104,89.40578947,83.5187,118000.2401
2024,May,160.2977742,83.56368421,83.2988,111579.3472
2024,Jun,136.006213,82.55315789,83.4534,93699.32757
2024,Jul,142.6981842,84.16181818,83.744,100574.3552
2024,Aug,146.736951,78.17842105,83.8709,96213.87118
2024,Sep,137.3770351,73.7265,83.7888,84864.04475
2024,Oct,143.8257963,75.28380952,84.0886,91049.06629
2024,Nov,140.5608807,73.0715,84.4971,86786.92406
2024,Dec,147.2897021,73.3365,85.6232,92487.70814
2025,Jan,153.6352833,80.1965,86.6414,106750.9729
2025,Feb,140.7303911,77.36555556,87.4006,95159.01923
2025,Mar,163.1425996,72.49578947,85.5814,101218.4188
2025,Apr,156.4727377,68.21882353,85.0535,90789.38966
2025,May,171.8981741,64.04222222,85.4778,94100.29669
2025,Jun,145.6461896,69.77428571,85.5439,86932.78089
2025,Jul,136.7874339,70.94956522,87.5544,84971.62369
2025,Aug,144.4743576,69.21777778,87.8514,87853.10413
2025,Sep,148.3436139,69.64238095,88.7923,91731.34709
2025,Oct,155.1682454,65.1205,88.7241,89652.45332
2025,Nov,155.1756158,64.25210526,89.4557,89190.55333
2025,Dec,153.6131727,62.20238095,89.9198,85919.31387
2026,Jan,155.4630463,63.0565,91.8983,90087.4953
2026,Feb,143.2067154,69.00555556,90.9542,89881.47668
2026,Mar,139.3964185,124.8621053,94.6543,164748.9354
