Year,Month,COI,Price,Rate,Expense
1994,Nov,NA,NA,31.39,NA
1994,Dec,NA,NA,31.38,NA
1995,Jan,NA,NA,31.37,NA
1995,Feb,NA,NA,31.43,NA
1995,Mar,NA,NA,31.5,NA
1995,Apr,NA,NA,31.39,NA
1995,May,NA,NA,31.42,NA
1995,Jun,NA,NA,31.42,NA
1995,Jul,NA,NA,31.4,NA
1995,Aug,NA,NA,31.84,NA
1995,Sep,NA,NA,34.01,NA
1995,Oct,NA,NA,34.62,NA
1995,Nov,NA,NA,34.94,NA
1995,Dec,NA,NA,35.18,NA
1996,Jan,NA,NA,36.49,NA
1996,Feb,NA,NA,35.03,NA
1996,Mar,NA,NA,34.33,NA
1996,Apr,NA,NA,34.52,NA
1996,May,NA,NA,35.09,NA
1996,Jun,NA,NA,35.06,NA
1996,Jul,NA,NA,35.68,NA
1996,Aug,NA,NA,35.68,NA
1996,Sep,NA,NA,35.76,NA
1996,Oct,NA,NA,35.68,NA
1996,Nov,NA,NA,35.76,NA
1996,Dec,NA,NA,35.93,NA
1997,Jan,NA,NA,35.88,NA
1997,Feb,NA,NA,35.89,NA
1997,Mar,NA,NA,35.9,NA
1997,Apr,NA,NA,35.78,NA
1997,May,NA,NA,35.79,NA
1997,Jun,NA,NA,35.82,NA
1997,Jul,NA,NA,35.71,NA
1997,Aug,NA,NA,36.36,NA
1997,Sep,NA,NA,36.18,NA
1997,Oct,NA,NA,36.4,NA
1997,Nov,NA,NA,38.57,NA
1997,Dec,NA,NA,39.28,NA
1998,Jan,NA,NA,38.92,NA
1998,Feb,NA,NA,39.3,NA
1998,Mar,NA,NA,39.5,NA
1998,Apr,NA,NA,39.73,NA
1998,May,NA,NA,41.5,NA
1998,Jun,NA,NA,42.47,NA
1998,Jul,NA,NA,42.56,NA
1998,Aug,NA,NA,42.55,NA
1998,Sep,NA,NA,42.49,NA
1998,Oct,NA,NA,42.37,NA
1998,Nov,NA,NA,42.63,NA
1998,Dec,NA,NA,42.48,NA
1999,Jan,NA,NA,42.5,NA
1999,Feb,NA,NA,42.49,NA
1999,Mar,NA,NA,42.43,NA
1999,Apr,NA,NA,42.82,NA
1999,May,NA,NA,42.84,NA
1999,Jun,NA,NA,43.36,NA
1999,Jul,NA,NA,43.29,NA
1999,Aug,NA,NA,43.48,NA
1999,Sep,NA,NA,43.61,NA
1999,Oct,NA,NA,43.42,NA
